,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,zipcode,Age_of_House,Years_last_renovation,basement,biggerliving,biggerlot,distance_from_a_city,distance_from_airport
0,2014-12-09,538000.0,-0.37865176564791464,0.3002529086852542,0.8852830573272616,0.034201930414954146,2.0,0.0,0.0,3,-0.5168444600714883,98125,0.7388377114686399,-0.5095484510932708,1,1,0,-0.03632857070779599,1.0284124910030132
1,2015-02-25,180000.0,-1.5491660092228374,-1.5063464572535077,-2.0322002541480204,0.4566116991060793,1.0,0.0,0.0,3,-1.4825112838297712,98028,1.1937575391241324,1.2426426630079113,0,0,1,0.16913179199410525,1.2455411028336345
2,2014-12-09,604000.0,0.791862477927008,1.3842125282485114,0.1491255518278716,-0.4575518586870627,1.0,0.0,0.0,5,-0.5168444600714883,98136,0.3399773430489046,0.4069482462247752,1,1,0,-0.2961375960266968,-1.0877203151962662
3,2015-02-18,510000.0,-0.37865176564791464,-0.06106696450249818,-0.2475158794382873,0.17814912383612386,1.0,0.0,0.0,3,0.4488223636867945,98074,-0.41483026595946637,-0.3447987073237288,0,0,1,-0.15332099155183665,0.671481021640185
5,2014-06-27,257500.0,-0.37865176564791464,0.3002529086852542,-0.1953602902900798,-0.04519032185258895,2.0,0.0,0.0,3,-0.5168444600714883,98003,-0.7540384413435729,-0.6875379789219608,0,0,0,1.6699837517443612,-0.6203613825224223
6,2015-01-15,291850.0,-0.37865176564791464,-0.783706710878003,-1.3436738490686393,0.4184492345821456,1.0,0.0,0.0,3,-0.5168444600714883,98198,0.39996843236960516,0.4661333787789006,0,0,0,0.8997785846447227,-2.024374980183781
7,2015-04-15,229500.0,-0.37865176564791464,-1.5063464572535077,-0.10056692945193121,0.07501735087919217,1.0,0.0,0.0,3,-0.5168444600714883,98146,0.4879299605228804,0.552777456429822,1,0,0,-0.29343356188693714,-1.4488495038247255
8,2015-03-12,323000.0,-0.37865176564791464,0.6615727818730066,0.054137974605799895,-0.09637230763170568,2.0,0.0,0.0,3,-0.5168444600714883,98038,-1.1564585419994864,-1.0989813643545028,0,0,0,1.4558932620617016,0.13872210771471366
9,2014-05-27,468000.0,-1.5491660092228374,-1.5063464572535077,-1.1391088573997397,-0.21461954461307853,1.0,0.0,0.0,4,-0.5168444600714883,98115,0.9731673086537052,1.0280177859578827,1,0,0,-0.43253221878575127,0.688001724427522
10,2014-05-28,310000.0,-0.37865176564791464,-1.5063464572535077,-0.6457479759495677,1.3393619116288367,1.5,0.0,0.0,4,-0.5168444600714883,98028,1.3342506295040883,1.3789065421532567,0,0,1,0.37336527821398785,1.436775169916117
11,2014-10-07,400000.0,-0.37865176564791464,-0.4223868376902506,-0.7489643826181881,0.4142857015057341,1.0,0.0,0.0,4,-0.5168444600714883,98074,-0.046718745905272696,0.023541738907640542,0,0,0,-0.1557165008389604,0.6395717474576722
12,2015-03-12,530000.0,1.9623767215019305,-0.06106696450249818,-0.057684022097222606,-0.4983108567293654,1.5,0.0,0.0,3,-0.5168444600714883,98107,1.9144245506643165,1.9383271827286896,0,1,0,-0.6675593559630723,0.5582374234552939
14,2014-07-31,395000.0,-0.37865176564791464,-0.06106696450249818,0.054137974605799895,0.8949260012689219,2.0,0.0,0.0,3,-0.5168444600714883,98019,-0.7088045402567398,-0.6416322291249453,0,0,1,0.8998847962889802,1.9426461895189133
15,2014-05-29,485000.0,0.791862477927008,-1.5063464572535077,-0.3698411972567194,-0.6598650213216776,1.5,0.0,0.0,4,-0.5168444600714883,98103,1.5800301266810806,1.6165215791862255,0,0,0,-1.005185151784302,0.4248748628222845
