,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,grade,zipcode,Age_of_House,Years_last_renovation,basement,biggerliving,biggerlot,distance_from_a_city,distance_from_airport
0,2014-12-09,538000.0,3,2.25,25.135877418628976,8.887652690325586,2.0,0.0,3,7,98125,13.733078518060132,7.757696829843458,1,1,0,3.650189520535682,17.709623611186096
1,2015-02-25,180000.0,2,1.0,17.444243557519467,9.210340371976184,1.0,0.0,3,6,98028,15.586687818314848,14.019812484022264,0,0,1,3.9155205132933846,18.79477411631956
2,2014-12-09,604000.0,4,3.0,23.195076600972957,8.517193191416238,1.0,0.0,5,7,98136,12.10788822416568,11.033143365949504,1,1,0,3.314672802329104,7.133760005665667
3,2015-02-18,510000.0,3,2.0,22.149373733900507,8.997147151515142,1.0,0.0,3,8,98074,9.032360803935312,8.346492162258105,0,0,1,3.4991058041464815,15.925775959734025
5,2014-06-27,257500.0,3,2.25,22.286876386944172,8.827468112520654,2.0,0.0,3,7,98003,7.6502284140264525,7.121584136698291,0,0,0,5.853716938268323,9.469494470109632
6,2015-01-15,291850.0,3,1.5,19.259470054530208,9.181014542594355,1.0,0.0,3,7,98198,12.352326989717735,11.244663754381536,0,0,0,4.859075933423215,2.4526114721886367
7,2015-04-15,229500.0,3,1.0,22.536788981529806,8.918650278126863,1.0,0.0,3,7,98146,12.710733673132294,11.554319037206117,1,0,0,3.3181647851783413,5.328933280368361
8,2015-03-12,323000.0,3,2.5,22.94465197558698,8.788745881938135,2.0,0.0,3,7,98038,6.010533690168149,5.651136053729265,0,0,0,5.5772410213543635,13.263189948215812
9,2014-05-27,468000.0,2,1.0,19.79878385643931,8.699514748210191,1.0,0.0,4,7,98115,14.687874273843528,13.252769556150428,1,0,0,3.1385331314575047,16.00834199662659
10,2014-05-28,310000.0,3,1.0,21.099477247411986,9.898525260706313,1.5,0.0,4,7,98028,16.159138793450243,14.506802837887237,0,0,1,4.179267120865136,19.75051063922039
11,2014-10-07,400000.0,3,1.75,20.827358190061506,9.177817180270623,1.0,0.0,4,7,98074,10.53226231541676,9.662895638939284,0,0,0,3.4960122495116392,15.766301974681298
12,2015-03-12,530000.0,5,2.0,22.649845197130063,8.48673398393153,1.5,0.0,3,7,98107,18.523106487648548,16.506103440672888,0,1,0,2.8350196809203987,15.359814860745711
14,2014-07-31,395000.0,3,2.0,22.94465197558698,9.549665677579801,2.0,0.0,3,7,98019,7.834537768431756,7.285645643520946,0,0,1,4.859213094871986,22.27871817403657
15,2014-05-29,485000.0,4,1.0,21.826876068565976,8.366370301681654,1.5,0.0,4,7,98103,17.160588134814645,15.356009771478904,0,0,0,2.399010582095677,14.693304589175906
16,2014-12-05,189000.0,2,1.0,20.004825339732747,9.195226734166134,1.0,0.0,4,7,98002,16.712609145771104,14.976554694990973,0,1,1,5.881245827240981,10.29764639782725
17,2015-04-24,230000.0,3,1.0,20.255303445762234,9.1874810778301,1.0,0.0,4,7,98003,11.604677044925754,10.596830840784436,0,0,1,5.639265484202562,7.823457371729348
18,2014-05-14,385000.0,4,1.75,21.908607015322527,8.513185170018698,1.0,0.0,4,7,98133,14.165000769708856,12.805138481499368,1,1,0,3.2951541833103692,16.765453505743533
20,2014-07-03,285000.0,5,2.5,24.230138213156447,8.748304912379623,2.0,0.0,3,8,98092,7.6502284140264525,7.121584136698291,0,1,0,5.731893232021616,10.247999950706022
21,2014-11-20,329000.0,3,2.25,24.783553096409108,8.779557455883728,2.0,0.0,4,8,98030,9.349583208354646,8.625962815982236,0,1,0,5.2777537815129865,8.003044387515374
22,2014-11-03,233000.0,3,2.0,22.267361894164015,8.454679286026995,1.5,0.0,5,6,98002,14.790328308679241,13.340356392682002,0,1,0,5.917784522543572,10.396227712784517
